MSZoning;LotArea;Neighborhood;BldgType;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;TotalBsmtSF;HeatingQC;CentralAir;GrLivArea;TotRmsAbvGrd;GarageCars;YrSold;SalePrice
RL;9590;Timber;1Fam;7;5;2003;2003;Gable;868;Ex;Y;1146;6;2;2007;187500
RL;12256;NoRidge;1Fam;8;5;1994;1995;Gable;1463;Ex;Y;2622;9;2;2010;325000
RL;12108;Edwards;Duplex;4;4;1955;1955;Gable;1440;TA;N;1440;8;0;2008;118000
RL;7500;Sawyer;1Fam;5;5;1963;1963;Gable;1040;Fa;Y;1040;5;1;2010;133000
RM;6000;OldTown;2fmCon;4;4;1953;1953;Gable;936;TA;N;936;4;2;2009;93000
RL;8163;NAmes;1Fam;5;6;1959;1959;Gable;1144;TA;Y;1144;6;1;2006;143000
RL;8125;Gilbert;1Fam;6;5;1994;1995;Gable;702;Gd;Y;1481;6;2;2009;174000
RM;10440;OldTown;1Fam;6;7;1920;1950;Gable;1510;Ex;Y;2792;8;2;2008;256000
RL;11911;Gilbert;1Fam;6;5;2005;2005;Gable;684;Ex;Y;1560;6;2;2009;174000
RL;9765;Gilbert;1Fam;6;8;1993;1993;Gable;680;Gd;Y;1470;6;2;2009;185000
RM;6120;BrkSide;1Fam;7;8;1929;2001;Gable;832;Ex;Y;854;5;2;2007;132000
RL;10859;CollgCr;1Fam;5;5;1994;1995;Gable;1097;Ex;Y;1097;6;2;2009;145000
RM;6130;BrkSide;1Fam;5;6;1924;1950;Gable;784;Gd;Y;784;5;0;2008;109500
RM;5232;OldTown;1Fam;5;5;1925;2004;Gable;680;Gd;N;764;4;2;2008;73000
RL;14260;NoRidge;1Fam;8;5;2000;2000;Gable;1145;Ex;Y;2198;9;3;2008;250000
RL;10839;Gilbert;1Fam;6;5;1997;1998;Gable;926;Ex;Y;1604;7;2;2008;181000
RL;10140;NWAmes;1Fam;6;5;1974;1974;Hip;1064;TA;Y;1350;7;2;2009;165000
RM;6240;IDOTRR;1Fam;4;5;1925;1950;Gable;780;TA;Y;1208;5;2;2009;103000
RM;9600;OldTown;1Fam;7;9;1928;2005;Gambrel;689;Ex;Y;1378;7;2;2008;161000
RM;4224;MeadowV;TwnhsE;5;5;1976;1976;Gable;1142;TA;Y;1142;6;2;2007;134000
RL;8197;Sawyer;1Fam;6;5;1977;1977;Gable;660;Ex;Y;1285;7;2;2007;143500
RL;8400;SWISU;1Fam;6;5;1925;1950;Gable;1181;Fa;Y;1694;7;2;2008;136500
RL;9000;NAmes;1Fam;6;5;1956;1956;Gable;1196;Gd;Y;1196;6;1;2008;139000
RL;15431;NridgHt;1Fam;10;5;2008;2008;Hip;3094;Ex;Y;2402;10;3;2009;555000
RM;6000;BrkSide;1Fam;6;6;1941;1950;Gable;735;Ex;Y;1218;6;2;2007;131000
RL;6627;BrkSide;1Fam;3;6;1949;1950;Hip;0;TA;N;720;4;1;2008;72500
RL;31770;NAmes;1Fam;6;5;1960;1960;Hip;1080;Fa;Y;1656;7;2;2010;215000
FV;8791;Somerst;1Fam;6;5;2003;2003;Gable;864;Ex;Y;1728;7;2;2008;207500
RM;9000;OldTown;1Fam;7;9;1920;1988;Hip;650;Ex;Y;1482;7;2;2009;143000
RL;7032;NAmes;Duplex;5;5;1979;1979;Gable;943;TA;Y;943;4;2;2006;135960
RL;3182;Blmngtn;TwnhsE;8;5;2004;2005;Gable;1256;Ex;Y;1269;6;2;2010;192000
RL;7200;NAmes;1Fam;5;8;1950;2002;Gable;864;Gd;Y;864;5;2;2007;129000
RL;13825;Sawyer;1Fam;5;6;1958;1987;Gable;533;TA;Y;1601;6;1;2008;140000
RL;8000;NAmes;1Fam;6;6;1948;2002;Gable;972;Ex;Y;972;5;1;2009;132000
RL;19296;NAmes;1Fam;6;5;1962;1962;Gable;1362;TA;Y;1382;6;2;2009;176000
RL;8529;SawyerW;1Fam;7;5;2001;2001;Gable;1454;Ex;Y;1434;6;2;2009;189000
RL;10680;NAmes;1Fam;5;3;1951;1951;Hip;2136;TA;N;2136;7;2;2006;137900
RL;10791;Sawyer;Duplex;4;5;1967;1967;Gable;0;TA;Y;1296;6;2;2006;90000
RL;12886;Sawyer;1Fam;5;6;1963;1999;Gable;520;Ex;Y;1464;6;2;2009;175000
RL;12456;NridgHt;1Fam;10;5;2006;2007;Hip;1700;Ex;Y;1718;7;3;2009;337500
RL;5664;StoneBr;TwnhsE;8;5;2000;2000;Gable;1501;Ex;Y;1659;5;2;2009;278000
RL;13517;Sawyer;1Fam;6;8;1976;2005;Gable;725;Ex;Y;1479;6;2;2010;130500
RL;9672;SawyerW;1Fam;6;5;1984;1985;Hip;1040;TA;Y;1097;6;2;2010;152000
RL;8532;NAmes;1Fam;5;6;1954;1990;Hip;1297;Gd;Y;1297;5;2;2009;153000
